"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days","condition3","Date","condition4","Days_in_Exp"
"143","00186D164E",151,"SGR_3",3.15012636478709,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"144","00186D164E",151,"SGR_4",2.80935836318572,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"145","00186D164E",151,"SGR_5",2.57456434945293,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"146","00186D164E",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"147","00186D164E",151,"SGR_7",2.04997900471309,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"148","00186D164F",151,"SGR_1",2.97550168223879,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"149","00186D164F",151,"SGR_2",3.05080264563227,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"150","00186D164F",151,"SGR_3",2.29284583437437,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"151","00186D164F",151,"SGR_4",2.11448986099114,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"152","00186D164F",151,"SGR_5",2.04020140226517,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"153","00186D164F",151,"SGR_6",1.94613511280264,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"154","00186D164F",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"155","00186D1650",151,"SGR_1",1.8538068771883,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"156","00186D1650",151,"SGR_2",2.67342650405369,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"157","00186D1650",151,"SGR_3",2.39123442449694,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"158","00186D1650",151,"SGR_4",2.3628827178098,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"159","00186D1650",151,"SGR_5",2.2542622500954,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"160","00186D1650",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
