"","TAGNUMBER","SEX","TANK_Real","condition1","SGR","condition2","Interval_Days"
"354","00186D16C5","F",202,"SGR_5",1.68465470030508,"T6minusT1",161
"351","00186D16C5","F",202,"SGR_6",1.4852298347301,"T7minusT1",244
"360","00186D16C8","F",152,"SGR_1",2.06454304264765,"T2minusT1",32
"358","00186D16C8","F",152,"SGR_2",1.70135704310959,"T3minusT1",62
"359","00186D16C8","F",152,"SGR_3",1.42463869673273,"T4minusT1",98
"356","00186D16C8","F",152,"SGR_4",1.22907479609855,"T5minusT1",133
"355","00186D16C8","F",152,"SGR_5",1.14281609175031,"T6minusT1",161
"357","00186D16C8","F",152,"SGR_6",0.99316361416506,"T7minusT1",190
"363","00186D16CA","M",152,"SGR_1",2.78350532497134,"T2minusT1",32
"365","00186D16CA","M",152,"SGR_2",2.94231555199129,"T3minusT1",62
"364","00186D16CA","M",152,"SGR_3",2.53189531651186,"T4minusT1",98
"362","00186D16CA","M",152,"SGR_4",NA,"T5minusT1",NA
