"","TAGNUMBER","SEX","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"259","00186D1699","F",152,"WEIGHT_4",25.6,"LENGTH_4",129,"T4",2021-11-04
"258","00186D1699","F",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"253","00186D1699","F",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"256","00186D1699","F",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"266","00186D169A","F",152,"WEIGHT_1",1.6,"LENGTH_1",54,"T1",2021-07-29
"261","00186D169A","F",152,"WEIGHT_2",4,"LENGTH_2",73,"T2",2021-08-30
"265","00186D169A","F",152,"WEIGHT_3",11,"LENGTH_3",100,"T3",2021-09-29
"264","00186D169A","F",152,"WEIGHT_4",25.2,"LENGTH_4",131,"T4",2021-11-04
"263","00186D169A","F",152,"WEIGHT_5",41.9,"LENGTH_5",153,"T5",2021-12-09
"260","00186D169A","F",152,"WEIGHT_6",62.7,"LENGTH_6",171,"T6",2022-01-06
"262","00186D169A","F",152,"WEIGHT_7",164.7,"LENGTH_7",250,"T7",2022-03-30
"268","00186D169B","F",151,"WEIGHT_1",1.8,"LENGTH_1",55,"T1",2021-07-29
"267","00186D169B","F",151,"WEIGHT_2",5.5,"LENGTH_2",80,"T2",2021-08-30
"269","00186D169B","F",151,"WEIGHT_3",14.3,"LENGTH_3",110,"T3",2021-09-29
"273","00186D169B","F",151,"WEIGHT_4",26.1,"LENGTH_4",132,"T4",2021-11-04
"270","00186D169B","F",151,"WEIGHT_5",60.9,"LENGTH_5",152,"T5",2021-12-09
"272","00186D169B","F",151,"WEIGHT_6",81.2,"LENGTH_6",189,"T6",2022-01-06
"271","00186D169B","F",151,"WEIGHT_7",232.5,"LENGTH_7",265,"T7",2022-03-30
"278","00186D169C","F",152,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"279","00186D169C","F",152,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30
"280","00186D169C","F",152,"WEIGHT_3",14.1,"LENGTH_3",107,"T3",2021-09-29
"277","00186D169C","F",152,"WEIGHT_4",29.6,"LENGTH_4",135,"T4",2021-11-04
"274","00186D169C","F",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"275","00186D169C","F",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"276","00186D169C","F",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"285","00186D16A0","M",201,"WEIGHT_1",2.4,"LENGTH_1",61,"T1",2021-07-29
"283","00186D16A0","M",201,"WEIGHT_2",5.4,"LENGTH_2",76,"T2",2021-08-30
"281","00186D16A0","M",201,"WEIGHT_3",10.3,"LENGTH_3",98,"T3",2021-09-29
