"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days"
"262","00186D1666",151,"SGR_4",NA,"T5minusT1",NA
"263","00186D1666",151,"SGR_5",NA,"T6minusT1",NA
"264","00186D1666",151,"SGR_6",NA,"T7minusT1",NA
"265","00186D1667",152,"SGR_1",2.77360753628788,"T2minusT1",32
"266","00186D1667",152,"SGR_2",3.15956233696126,"T3minusT1",62
"267","00186D1667",152,"SGR_3",2.66466124041904,"T4minusT1",98
"268","00186D1667",152,"SGR_4",NA,"T5minusT1",NA
"269","00186D1667",152,"SGR_5",NA,"T6minusT1",NA
"270","00186D1667",152,"SGR_6",NA,"T7minusT1",NA
"271","00186D1668",201,"SGR_1",2.32016017581933,"T2minusT1",32
"272","00186D1668",201,"SGR_2",1.83273944572326,"T3minusT1",62
"273","00186D1668",201,"SGR_3",1.58430175657731,"T4minusT1",98
"274","00186D1668",201,"SGR_4",1.52649843749002,"T5minusT1",133
"275","00186D1668",201,"SGR_5",NA,"T6minusT1",NA
"276","00186D1668",201,"SGR_6",NA,"T7minusT1",NA
"277","00186D1669",201,"SGR_1",2.07364336026272,"T2minusT1",32
"278","00186D1669",201,"SGR_2",0.576940093230527,"T3minusT1",62
"279","00186D1669",201,"SGR_3",NA,"T4minusT1",NA
"280","00186D1669",201,"SGR_4",NA,"T5minusT1",NA
"281","00186D1669",201,"SGR_5",NA,"T6minusT1",NA
"282","00186D1669",201,"SGR_6",NA,"T7minusT1",NA
"283","00186D166A",152,"SGR_1",2.18971486541166,"T2minusT1",32
"284","00186D166A",152,"SGR_2",2.33136434970509,"T3minusT1",62
"285","00186D166A",152,"SGR_3",1.93874361425279,"T4minusT1",98
"286","00186D166A",152,"SGR_4",1.67676974346369,"T5minusT1",133
"287","00186D166A",152,"SGR_5",1.55539252488439,"T6minusT1",161
"288","00186D166A",152,"SGR_6",1.51583033968339,"T7minusT1",190
"289","00186D166B",201,"SGR_1",3.08877103879339,"T2minusT1",32
"290","00186D166B",201,"SGR_2",2.48768999664895,"T3minusT1",62
"291","00186D166B",201,"SGR_3",2.53679955747399,"T4minusT1",98
"292","00186D166B",201,"SGR_4",2.24329696337842,"T5minusT1",133
"293","00186D166B",201,"SGR_5",2.08858900901829,"T6minusT1",161
"294","00186D166B",201,"SGR_6",1.85057334881726,"T7minusT1",190
"295","00186D166C",152,"SGR_1",3.29689324257061,"T2minusT1",32
"296","00186D166C",152,"SGR_2",3.10226782999736,"T3minusT1",62
"297","00186D166C",152,"SGR_3",2.76203105084241,"T4minusT1",98
"298","00186D166C",152,"SGR_4",2.47820300086139,"T5minusT1",133
"299","00186D166C",152,"SGR_5",2.23018033974569,"T6minusT1",161
"300","00186D166C",152,"SGR_6",1.88127452905014,"T7minusT1",244
"301","00186D166D",152,"SGR_1",3.41195034321142,"T2minusT1",32
"302","00186D166D",152,"SGR_2",3.37176089752085,"T3minusT1",62
"303","00186D166D",152,"SGR_3",2.84499226848285,"T4minusT1",98
"304","00186D166D",152,"SGR_4",2.59596332591889,"T5minusT1",133
"305","00186D166D",152,"SGR_5",2.40705085806596,"T6minusT1",161
"306","00186D166D",152,"SGR_6",1.95110757628714,"T7minusT1",244
"307","00186D166E",202,"SGR_1",1.50995218371923,"T2minusT1",32
"308","00186D166E",202,"SGR_2",0.993783739030007,"T3minusT1",62
"309","00186D166E",202,"SGR_3",1.03035703525709,"T4minusT1",98
"310","00186D166E",202,"SGR_4",1.10409752781881,"T5minusT1",133
"311","00186D166E",202,"SGR_5",1.14668212398314,"T6minusT1",161
"312","00186D166E",202,"SGR_6",1.0964582252833,"T7minusT1",244
"313","00186D166F",202,"SGR_1",2.77360753628788,"T2minusT1",32
"314","00186D166F",202,"SGR_2",1.72075061608705,"T3minusT1",62
"315","00186D166F",202,"SGR_3",1.89255332122658,"T4minusT1",98
"316","00186D166F",202,"SGR_4",1.81088256562913,"T5minusT1",133
"317","00186D166F",202,"SGR_5",1.66694422802529,"T6minusT1",161
"318","00186D166F",202,"SGR_6",1.55951951673041,"T7minusT1",190
"319","00186D1670",201,"SGR_1",2.58198760778205,"T2minusT1",32
"320","00186D1670",201,"SGR_2",2.5105690188576,"T3minusT1",62
"321","00186D1670",201,"SGR_3",2.34042007715025,"T4minusT1",98
"322","00186D1670",201,"SGR_4",2.16284713318879,"T5minusT1",133
"323","00186D1670",201,"SGR_5",1.98430970192558,"T6minusT1",161
