"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"2316",2316,"0018729489","151","WEIGHT_4",13.1,"LENGTH_4",106,"T4","2021-11-04","Day_in_Exp_T4",98,1.09990126077232,"15",2021-11-04,0.899917508344251,0.0202828312588758,0.0111261058424049
"2317",2317,"0018729489","151","WEIGHT_5",22.3,"LENGTH_5",128,"T5","2021-12-09","Day_in_Exp_T5",133,1.06334686279297,"15",2021-12-09,0.856174140941569,-0.0258372052440642,-0.0113041528625787
"2318",2318,"0018729489","151","WEIGHT_6",32.1,"LENGTH_6",147,"T6","2022-01-06","Day_in_Exp_T6",161,1.01053888166401,"15",2022-01-06,0.804138868903088,-0.0679316740596644,-0.0302734001675689
"2321",2321,"001872948A","201","WEIGHT_1",4.2,"LENGTH_1",72,"T1","2021-07-29","Day_in_Exp_T1",0,1.12525720164609,"20",2021-07-29,0.95143371914919,0.0592076173624083,0.0281272788359361
"2322",2322,"001872948A","201","WEIGHT_2",9.4,"LENGTH_2",95,"T2","2021-08-30","Day_in_Exp_T2",20,1.09636973319726,"20",2021-08-30,0.905420933581893,-0.0407213855777555,-0.018465941878681
"2323",2323,"001872948A","201","WEIGHT_3",16.2,"LENGTH_3",114,"T3","2021-09-29","Day_in_Exp_T3",62,1.09345385624727,"20",2021-09-29,0.889126487280198,-0.00332764726992008,-0.00109388399111915
"2324",2324,"001872948A","201","WEIGHT_4",25.8,"LENGTH_4",130,"T4","2021-11-04","Day_in_Exp_T4",98,1.17432862994993,"20",2021-11-04,0.944287985615268,-0.00955034398587284,-0.00261836051735908
"2325",2325,"001872948A","201","WEIGHT_5",50.6,"LENGTH_5",163,"T5","2021-12-09","Day_in_Exp_T5",133,1.16838965656502,"20",2021-12-09,0.921619716663065,-0.016638760679118,-0.00656941115164018
"2326",2326,"001872948A","201","WEIGHT_6",69.2,"LENGTH_6",183,"T6","2022-01-06","Day_in_Exp_T6",161,1.1291530846031,"20",2022-01-06,0.881951052085144,-0.045540660509215,-0.0204102715399855
"2329",2329,"001872948B","201","WEIGHT_1",2.9,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.10626220703125,"20",2021-07-29,0.944784540176588,0.0286615607627893,0.0133729892017159
