"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"1091",1091,"00186D16C4","152","WEIGHT_3",15,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.12697220135237,"15",2021-09-29,0.919167849662427,0.0104264063615774
"1092",1092,"00186D16C4","152","WEIGHT_4",34.3,"LENGTH_4",142,"T4","2021-11-04","Day_in_Exp_T4",98,1.19792350612303,"15",2021-11-04,0.956058743489991,0.042595881089597
"1093",1093,"00186D16C4","152","WEIGHT_5",61.6,"LENGTH_5",174,"T5","2021-12-09","Day_in_Exp_T5",133,1.16931889452288,"15",2021-12-09,0.917246960315696,0.00140742881504385
"1094",1094,"00186D16C4","152","WEIGHT_6",78.9,"LENGTH_6",194,"T6","2022-01-06","Day_in_Exp_T6",161,1.08061704465893,"15",2022-01-06,0.839863420519956,-0.0660353077578153
"1096",1096,"00186D16C4","152","WEIGHT_8",169.1,"LENGTH_8",247,"T8","2022-03-30","Day_in_Exp_T8",244,1.12215473883425,"15",2022-03-30,0.854424133772927,-0.0390404346795202
"1097",1097,"00186D16C5","202","WEIGHT_1",2.2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.18794986851555,"20",2021-07-29,1.02458678730102,0.0939470610858266
"1098",1098,"00186D16C5","202","WEIGHT_2",4.6,"LENGTH_2",74,"T2","2021-08-30","Day_in_Exp_T2",20,1.13517461946972,"20",2021-08-30,0.957586415174134,-0.0269695284139211
"1099",1099,"00186D16C5","202","WEIGHT_3",5.4,"LENGTH_3",79,"T3","2021-09-29","Day_in_Exp_T3",62,1.09524804325824,"20",2021-09-29,0.918785606882307,-0.0120821520962178
"1100",1100,"00186D16C5","202","WEIGHT_4",13.5,"LENGTH_4",105,"T4","2021-11-04","Day_in_Exp_T4",98,1.16618075801749,"20",2021-11-04,0.95491514398339,-0.0373368100461585
"1101",1101,"00186D16C5","202","WEIGHT_5",22.8,"LENGTH_5",125,"T5","2021-12-09","Day_in_Exp_T5",133,1.16736,"20",2021-12-09,0.941819020248224,-0.0348530815223659
"1102",1102,"00186D16C5","202","WEIGHT_6",32.4,"LENGTH_6",137,"T6","2022-01-06","Day_in_Exp_T6",161,1.2600370310883,"20",2022-01-06,1.0087000922099,0.0427947551871325
"1104",1104,"00186D16C5","202","WEIGHT_8",80.3,"LENGTH_8",185,"T8","2022-03-30","Day_in_Exp_T8",244,1.26823682703887,"20",2022-03-30,0.989670814712064,0.0305184652568836
"1105",1105,"00186D16C6","151","WEIGHT_1",2.5,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.0489745225068,"15",2021-07-29,0.898279826772617,-0.0283825926383776
"1106",1106,"00186D16C6","151","WEIGHT_2",6.8,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.10726643598616,"15",2021-08-30,0.923105900261917,0.00836951757352999
"1107",1107,"00186D16C6","151","WEIGHT_3",14.7,"LENGTH_3",108,"T3","2021-09-29","Day_in_Exp_T3",62,1.16693339429965,"15",2021-09-29,0.953246126214981,0.0352484081672076
"1108",1108,"00186D16C6","151","WEIGHT_4",27.5,"LENGTH_4",133,"T4","2021-11-04","Day_in_Exp_T4",98,1.16890110969096,"15",2021-11-04,0.938102690318341,0.0153835531710238
"1109",1109,"00186D16C6","151","WEIGHT_5",47.3,"LENGTH_5",159,"T5","2021-12-09","Day_in_Exp_T5",133,1.17671087666453,"15",2021-12-09,0.930145763214848,0.00504995696727206
"1110",1110,"00186D16C6","151","WEIGHT_6",72.4,"LENGTH_6",185,"T6","2022-01-06","Day_in_Exp_T6",161,1.14346632973368,"15",2022-01-06,0.892305940039271,-0.0228490629854236
"1112",1112,"00186D16C6","151","WEIGHT_8",203.2,"LENGTH_8",257,"T8","2022-03-30","Day_in_Exp_T8",244,1.19708319368836,"15",2022-03-30,0.908406050352971,0.00568520715360055
"1113",1113,"00186D16C7","201","WEIGHT_1",2.1,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.07630489154947,"20",2021-07-29,0.926923589134672,0.0257940787278885
"1114",1114,"00186D16C7","201","WEIGHT_2",3.8,"LENGTH_2",71,"T2","2021-08-25","Day_in_Exp_T2",20,1.06171646023732,"20",2021-08-25,0.898776256359508,-0.0562694714201415
"1121",1121,"00186D16C8","152","WEIGHT_1",1.3,"LENGTH_1",52,"T1","2021-07-29","Day_in_Exp_T1",0,0.924556213017751,"15",2021-07-29,0.803661266034836,-0.0958784081039324
"1122",1122,"00186D16C8","152","WEIGHT_2",2.5,"LENGTH_2",60,"T2","2021-08-30","Day_in_Exp_T2",20,1.15740740740741,"15",2021-08-30,0.993901626321763,0.106287988905602
"1123",1123,"00186D16C8","152","WEIGHT_3",3.7,"LENGTH_3",70,"T3","2021-09-29","Day_in_Exp_T3",62,1.07871720116618,"15",2021-09-29,0.914269581392454,0.0233946086169077
"1124",1124,"00186D16C8","152","WEIGHT_4",5.2,"LENGTH_4",79,"T4","2021-11-04","Day_in_Exp_T4",98,1.05468330091534,"15",2021-11-04,0.884756510331111,-0.0108398815439804
"1125",1125,"00186D16C8","152","WEIGHT_5",6.6,"LENGTH_5",85,"T5","2021-12-09","Day_in_Exp_T5",133,1.07469977610421,"15",2021-12-09,0.895955726724802,-0.00201733425054706
"1126",1126,"00186D16C8","152","WEIGHT_6",8.1,"LENGTH_6",94,"T6","2022-01-06","Day_in_Exp_T6",161,0.975217437369369,"15",2022-01-06,0.806093817996644,-0.0819384397558242
"1129",1129,"00186D16C9","202","WEIGHT_1",2.5,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.15740740740741,"20",2021-07-29,0.993901626321763,0.0572945401153541
"1130",1130,"00186D16C9","202","WEIGHT_2",6.1,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.19140625,"20",2021-08-30,0.998383109662986,0.00785980608371017
"1131",1131,"00186D16C9","202","WEIGHT_3",9.6,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.15581325910444,"20",2021-09-29,0.955370450958985,0.0185353319892404
"1132",1132,"00186D16C9","202","WEIGHT_4",27.7,"LENGTH_4",131,"T4","2021-11-04","Day_in_Exp_T4",98,1.23215652747153,"20",2021-11-04,0.990142773091543,-0.00807654092922516
"1133",1133,"00186D16C9","202","WEIGHT_5",51.7,"LENGTH_5",161,"T5","2021-12-09","Day_in_Exp_T5",133,1.23883342626581,"20",2021-12-09,0.978211390509736,-0.00442807125207367
"1134",1134,"00186D16C9","202","WEIGHT_6",71.4,"LENGTH_6",179,"T6","2022-01-06","Day_in_Exp_T6",161,1.24491333467821,"20",2022-01-06,0.974196603760818,0.0023239067468307
"1137",1137,"00186D16CA","152","WEIGHT_1",2.7,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,0.983158852981338,"15",2021-07-29,0.838544392183313,-0.0486911229966009
"1138",1138,"00186D16CA","152","WEIGHT_2",6.5,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.05841644616324,"15",2021-08-30,0.882380639956245,0.00707116149893761
"1139",1139,"00186D16CA","152","WEIGHT_3",16.3,"LENGTH_3",115,"T3","2021-09-29","Day_in_Exp_T3",62,1.07175145886414,"15",2021-09-29,0.870832776926738,-0.00773803688995434
"1140",1140,"00186D16CA","152","WEIGHT_4",31.3,"LENGTH_4",144,"T4","2021-11-04","Day_in_Exp_T4",98,1.0482306670096,"15",2021-11-04,0.835595417188261,-0.0476968157279766
"1145",1145,"00186D16CB","201","WEIGHT_1",1.5,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.00754313963876,"20",2021-07-29,0.874379971917597,-0.0262591955779441
"1146",1146,"00186D16CB","201","WEIGHT_2",2.7,"LENGTH_2",62,"T2","2021-08-30","Day_in_Exp_T2",20,1.13289248430734,"20",2021-08-30,0.970142212914426,0.0155868280460186
"1147",1147,"00186D16CB","201","WEIGHT_3",2.7,"LENGTH_3",64,"T3","2021-09-29","Day_in_Exp_T3",62,1.02996826171875,"20",2021-09-29,0.879626985681651,-0.0212402145772261
"1153",1153,"00186D16CC","151","WEIGHT_1",1.5,"LENGTH_1",51,"T1","2021-07-29","Day_in_Exp_T1",0,1.13078680145645,"15",2021-07-29,0.984548842188882,0.0252276812447082
"1154",1154,"00186D16CC","151","WEIGHT_2",3.8,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.10787172011662,"15",2021-08-30,0.938979570078737,-0.00841555414283035
"1155",1155,"00186D16CC","151","WEIGHT_3",10.2,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.22805158779846,"15",2021-09-29,1.01508110414392,0.0644246445629693
"1156",1156,"00186D16CC","151","WEIGHT_4",18.5,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.21640502999918,"15",2021-11-04,0.988368489149979,0.0329906104694817
"1161",1161,"00186D16CD","152","WEIGHT_1",3.8,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.26345328381483,"15",2021-07-29,1.07483754989745,0.120960048611054
"1162",1162,"00186D16CD","152","WEIGHT_2",8.7,"LENGTH_2",92,"T2","2021-08-30","Day_in_Exp_T2",20,1.11726391057779,"15",2021-08-30,0.925196125237044,-0.0167553393267459
"1163",1163,"00186D16CD","152","WEIGHT_3",22.1,"LENGTH_3",125,"T3","2021-09-29","Day_in_Exp_T3",62,1.13152,"15",2021-09-29,0.912903524012533,-0.0323092759106425
"1164",1164,"00186D16CD","152","WEIGHT_4",51.7,"LENGTH_4",160,"T4","2021-11-04","Day_in_Exp_T4",98,1.26220703125,"15",2021-11-04,0.997195698811929,0.0472614797892088
"1165",1165,"00186D16CD","152","WEIGHT_5",96.8,"LENGTH_5",200,"T5","2021-12-09","Day_in_Exp_T5",133,1.21,"15",2021-12-09,0.937989162722465,-0.0143217254005129
"1166",1166,"00186D16CD","152","WEIGHT_6",122.3,"LENGTH_6",219,"T6","2022-01-06","Day_in_Exp_T6",161,1.16437832527361,"15",2022-01-06,0.895687189418435,-0.0466828954816623
"1168",1168,"00186D16CD","152","WEIGHT_8",224.9,"LENGTH_8",260,"T8","2022-03-30","Day_in_Exp_T8",244,1.27958579881657,"15",2022-03-30,0.970055711262351,0.0401197861875782
"1169",1169,"00186D16CE","202","WEIGHT_1",1.6,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,0.96168294515402,"20",2021-07-29,0.831957393405202,-0.0926257239440221
"1170",1170,"00186D16CE","202","WEIGHT_2",4.9,"LENGTH_2",74,"T2","2021-08-30","Day_in_Exp_T2",20,1.20920774682645,"20",2021-08-30,1.02003770312027,0.0415383683981836
"1171",1171,"00186D16CE","202","WEIGHT_3",7.3,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.18868308569102,"20",2021-09-29,0.990981334104705,0.0661701839921455
"1172",1172,"00186D16CE","202","WEIGHT_4",17.9,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.14677723563902,"20",2021-11-04,0.931108163218488,-0.0550871819450947
"1173",1173,"00186D16CE","202","WEIGHT_5",35.7,"LENGTH_5",144,"T5","2021-12-09","Day_in_Exp_T5",133,1.19558577674897,"20",2021-12-09,0.953059309700348,-0.0175561832042763
"1174",1174,"00186D16CE","202","WEIGHT_6",56.2,"LENGTH_6",166,"T6","2022-01-06","Day_in_Exp_T6",161,1.2286043579165,"20",2022-01-06,0.96761560552126,0.00776687736445847
"1176",1176,"00186D16CE","202","WEIGHT_8",124.9,"LENGTH_8",210,"T8","2022-03-30","Day_in_Exp_T8",244,1.34866645070727,"20",2022-03-30,1.04115625865392,0.0880605180647079
"1177",1177,"00186D16CF","201","WEIGHT_1",2.7,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.13289248430734,"20",2021-07-29,0.970142212914426,0.0420724823457153
"1178",1178,"00186D16CF","201","WEIGHT_2",4,"LENGTH_2",70,"T2","2021-08-24","Day_in_Exp_T2",20,1.16618075801749,"20",2021-08-24,0.988399547451302,0.00641359950972431
"1185",1185,"00186D16D0","202","WEIGHT_1",1.7,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,1.07961184778743,"20",2021-07-29,0.93543619972302,0.000774139821607345
"1186",1186,"00186D16D0","202","WEIGHT_2",3.3,"LENGTH_2",66,"T2","2021-08-30","Day_in_Exp_T2",20,1.14784205693297,"20",2021-08-30,0.977734407497416,-0.0108438697768632
"1187",1187,"00186D16D0","202","WEIGHT_3",4.7,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,1.15985232858863,"20",2021-09-29,0.978403511156181,0.0435134184914324
"1188",1188,"00186D16D0","202","WEIGHT_4",10.7,"LENGTH_4",95,"T4","2021-11-04","Day_in_Exp_T4",98,1.24799533459688,"20",2021-11-04,1.03063872226875,0.0343644345529784
"1193",1193,"00186D16D1","201","WEIGHT_1",3.2,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.16522530723714,"20",2021-07-29,0.993830390735779,0.0700925718019302
"1194",1194,"00186D16D1","201","WEIGHT_2",6.7,"LENGTH_2",84,"T2","2021-08-25","Day_in_Exp_T2",20,1.1304124824533,"20",2021-08-25,0.943350763325673,-0.034303272981042
"1201",1201,"00186D16D2","201","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"20",2021-07-29,0.923417645305036,-0.0202712523685369
"1202",1202,"00186D16D2","201","WEIGHT_2",6.1,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.06683083036166,"20",2021-08-30,0.891197418919745,-0.106407696126695
"1203",1203,"00186D16D2","201","WEIGHT_3",9.3,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.11969409475742,"20",2021-09-29,0.925515124366517,-0.018401806070392
"1204",1204,"00186D16D2","201","WEIGHT_4",19.4,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.27558149091806,"20",2021-11-04,1.03645128051403,0.0311501550261
"1205",1205,"00186D16D2","201","WEIGHT_5",37.5,"LENGTH_5",140,"T5","2021-12-09","Day_in_Exp_T5",133,1.36661807580175,"20",2021-12-09,1.09200915075665,0.102287877527675
"1206",1206,"00186D16D2","201","WEIGHT_6",50.7,"LENGTH_6",158,"T6","2022-01-06","Day_in_Exp_T6",161,1.28539527299057,"20",2022-01-06,1.01660173386666,0.0376472253855098
"1208",1208,"00186D16D2","201","WEIGHT_8",130.4,"LENGTH_8",213,"T8","2022-03-30","Day_in_Exp_T8",244,1.34939401963886,"20",2022-03-30,1.04046269801754,0.0682611771039738
"1209",1209,"00186D16D3","201","WEIGHT_1",2.8,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.11978947957784,"20",2021-07-29,0.957618298834852,0.0259625899487109
"1210",1210,"00186D16D3","201","WEIGHT_2",5.1,"LENGTH_2",75,"T2","2021-08-24","Day_in_Exp_T2",20,1.20888888888889,"20",2021-08-24,1.018605879251,0.0330339529919914
"1217",1217,"00186D16D4","152","WEIGHT_1",2.5,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.15740740740741,"15",2021-07-29,0.993901626321763,0.0555454599598666
"1218",1218,"00186D16D4","152","WEIGHT_2",8.3,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.13854595336077,"15",2021-08-30,0.944582620680346,0.0181524910410571
"1219",1219,"00186D16D4","152","WEIGHT_3",22,"LENGTH_3",125,"T3","2021-09-29","Day_in_Exp_T3",62,1.1264,"15",2021-09-29,0.908772738836006,-0.0209187261626692
"1225",1225,"00186D16D5","202","WEIGHT_1",1.6,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,1.01610526850582,"20",2021-07-29,0.880410540915783,-0.0203402820200805
"1226",1226,"00186D16D5","202","WEIGHT_2",3.1,"LENGTH_2",66,"T2","2021-08-30","Day_in_Exp_T2",20,1.0782758716643,"20",2021-08-30,0.918477776739997,-0.0361892635687338
"1227",1227,"00186D16D5","202","WEIGHT_3",4.5,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,1.11049691035082,"20",2021-09-29,0.936769319192088,0.0357904634928882
"1228",1228,"00186D16D5","202","WEIGHT_4",10.1,"LENGTH_4",95,"T4","2021-11-04","Day_in_Exp_T4",98,1.17801428779705,"20",2021-11-04,0.97284589672097,0.0104828459707466
"1229",1229,"00186D16D5","202","WEIGHT_5",15.2,"LENGTH_5",110,"T5","2021-12-09","Day_in_Exp_T5",133,1.1419984973704,"20",2021-12-09,0.93142342099126,-0.0153597775000053
"1230",1230,"00186D16D5","202","WEIGHT_6",19.2,"LENGTH_6",118,"T6","2022-01-06","Day_in_Exp_T6",161,1.16857127554424,"20",2022-01-06,0.947425863353965,0.0114094296105236
"1232",1232,"00186D16D5","202","WEIGHT_8",57,"LENGTH_8",170,"T8","2022-03-30","Day_in_Exp_T8",244,1.16018725829432,"20",2022-03-30,0.91188470888904,-0.0173787372868156
"1233",1233,"00186D16D6","152","WEIGHT_1",2,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.13884839650146,"15",2021-07-29,0.983716446598266,0.0558264607927275
"1234",1234,"00186D16D6","201","WEIGHT_1",1.8,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.02496355685131,"20",2021-07-29,0.885344801938439,-0.0337234904410767
"1249",1249,"00186D16D7","202","WEIGHT_1",2.3,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.11988080572989,"20",2021-07-29,0.963051207484969,-0.00875423531802166
"1250",1250,"00186D16D7","202","WEIGHT_2",5.3,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.2562962962963,"20",2021-08-30,1.05855120784908,0.0328295476732203
"1251",1251,"00186D16D7","202","WEIGHT_3",7.4,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.204966415632,"20",2021-09-29,1.00455642087326,0.032522945306936
"1252",1252,"00186D16D7","202","WEIGHT_4",19.9,"LENGTH_4",112,"T4","2021-11-04","Day_in_Exp_T4",98,1.41644269314869,"20",2021-11-04,1.15349436289172,0.120076692274374
"1257",1257,"00186D16D8","151","WEIGHT_1",4.3,"LENGTH_1",72,"T1","2021-07-29","Day_in_Exp_T1",0,1.15204903978052,"15",2021-07-29,0.974086902938456,-0.0151980010383185
"1258",1258,"00186D16D8","151","WEIGHT_2",8.8,"LENGTH_2",85,"T2","2021-08-24","Day_in_Exp_T2",20,1.43293303480562,"15",2021-08-24,1.19460763563307,0.217248768378902
"1265",1265,"00186D16D9","202","WEIGHT_1",2.3,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.06481481481481,"20",2021-07-29,0.914389496216022,-0.0119717116052123
"1266",1266,"00186D16D9","202","WEIGHT_2",5.6,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.09375,"20",2021-08-30,0.916548428543069,-0.0637289966510319
"1267",1267,"00186D16D9","202","WEIGHT_3",8.8,"LENGTH_3",92,"T3","2021-09-29","Day_in_Exp_T3",62,1.13010602449248,"20",2021-09-29,0.93583056345816,0.00924132287358936
"1268",1268,"00186D16D9","202","WEIGHT_4",19.2,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.26243116626942,"20",2021-11-04,1.02576621576646,0.0377927801308713
"1269",1269,"00186D16D9","202","WEIGHT_5",33.2,"LENGTH_5",135,"T5","2021-12-09","Day_in_Exp_T5",133,1.34938779657573,"20",2021-12-09,1.08157940221444,0.109185818837802
"1270",1270,"00186D16D9","202","WEIGHT_6",41.6,"LENGTH_6",149,"T6","2022-01-06","Day_in_Exp_T6",161,1.25757682479385,"20",2022-01-06,0.999571103302694,0.0379442846738822
"1272",1272,"00186D16D9","202","WEIGHT_8",55,"LENGTH_8",170,"T8","2022-03-30","Day_in_Exp_T8",244,1.11947893344189,"20",2022-03-30,0.879888754191179,-0.074985076870047
"1273",1273,"00186D16DA","202","WEIGHT_1",1.3,"LENGTH_1",51,"T1","2021-07-29","Day_in_Exp_T1",0,0.980015227928926,"20",2021-07-29,0.853275663230365,-0.0656588122007796
"1274",1274,"00186D16DA","202","WEIGHT_2",3.1,"LENGTH_2",63,"T2","2021-08-24","Day_in_Exp_T2",20,1.23976692381832,"20",2021-08-24,1.0602202594243,0.0873695666202898
"1281",1281,"00186D16DB","152","WEIGHT_1",1.6,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.07471268228135,"15",2021-07-29,0.932671970045437,-0.0168958656319605
"1282",1282,"00186D16DB","152","WEIGHT_2",4.8,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.09345385624727,"15",2021-08-30,0.920303990560652,-0.0173378083941386
"1283",1283,"00186D16DB","152","WEIGHT_3",14.4,"LENGTH_3",99,"T3","2021-09-29","Day_in_Exp_T3",62,1.48407861906484,"15",2021-09-29,1.22131563468995,0.280412500375779
"1284",1284,"00186D16DB","152","WEIGHT_4",29.6,"LENGTH_4",140,"T4","2021-11-04","Day_in_Exp_T4",98,1.07871720116618,"15",2021-11-04,0.861959222997248,-0.0836653304164724
"1285",1285,"00186D16DB","152","WEIGHT_5",63.4,"LENGTH_5",175,"T5","2021-12-09","Day_in_Exp_T5",133,1.18297376093294,"15",2021-12-09,0.927506320251773,-0.0204949022622056
"1286",1286,"00186D16DB","152","WEIGHT_6",92.4,"LENGTH_6",201,"T6","2022-01-06","Day_in_Exp_T6",161,1.13784681700283,"15",2022-01-06,0.881682323899025,-0.0563780953920726
"1289",1289,"00186D16DC","202","WEIGHT_1",2.8,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.0195721438325,"20",2021-07-29,0.869601591893806,-0.0557593542112524
"1290",1290,"00186D16DC","202","WEIGHT_2",6.5,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.2230896750533,"20",2021-08-30,1.02385174167211,0.0445745781941853
"1291",1291,"00186D16DC","202","WEIGHT_3",7.8,"LENGTH_3",88,"T3","2021-09-29","Day_in_Exp_T3",62,1.1445811419985,"20",2021-09-29,0.951405283984627,0.0258163051162323
"1292",1292,"00186D16DC","202","WEIGHT_4",13.4,"LENGTH_4",103,"T4","2021-11-04","Day_in_Exp_T4",98,1.22628982353323,"20",2021-11-04,1.00577760247886,0.0188044285594453
"1293",1293,"00186D16DC","202","WEIGHT_5",22.9,"LENGTH_5",125,"T5","2021-12-09","Day_in_Exp_T5",133,1.17248,"20",2021-12-09,0.945949805424751,-0.0254435162357083
"1294",1294,"00186D16DC","202","WEIGHT_6",29.5,"LENGTH_6",136,"T6","2022-01-06","Day_in_Exp_T6",161,1.17274959291675,"20",2022-01-06,0.939408496079129,-0.0212180608335079
"1296",1296,"00186D16DC","202","WEIGHT_8",65.3,"LENGTH_8",172,"T8","2022-03-30","Day_in_Exp_T8",244,1.28329895480901,"20",2022-03-30,1.0076458545931,0.053772285248051
"1297",1297,"00186D16DD","151","WEIGHT_1",1.7,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,0.968021137026239,"15",2021-07-29,0.836158979608526,-0.0989590857705458
"1298",1298,"00186D16DD","151","WEIGHT_2",5.3,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.07496567208679,"15",2021-08-30,0.901771058606709,-0.0214209700497554
"1299",1299,"00186D16DD","151","WEIGHT_3",13.9,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.20073426195875,"15",2021-09-29,0.983208926027342,0.0567555620114921
"1300",1300,"00186D16DD","151","WEIGHT_4",26.7,"LENGTH_4",130,"T4","2021-11-04","Day_in_Exp_T4",98,1.21529358215749,"15",2021-11-04,0.977228264183242,0.0460534810678478
"1301",1301,"00186D16DD","151","WEIGHT_5",51.7,"LENGTH_5",164,"T5","2021-12-09","Day_in_Exp_T5",133,1.17208470567752,"15",2021-12-09,0.924053830936118,-0.00949762127953435
"1302",1302,"00186D16DD","151","WEIGHT_6",78.7,"LENGTH_6",187,"T6","2022-01-06","Day_in_Exp_T6",161,1.20351058072368,"15",2022-01-06,0.938303586178018,0.014692937185247
"1304",1304,"00186D16DD","151","WEIGHT_8",243.3,"LENGTH_8",267,"T8","2022-03-30","Day_in_Exp_T8",244,1.27822799458006,"15",2022-03-30,0.96684057421076,0.0556640850433127
"1305",1305,"00186D16DE","201","WEIGHT_1",2.3,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.11988080572989,"20",2021-07-29,0.963051207484969,-0.0273551589747578
"1306",1306,"00186D16DE","201","WEIGHT_2",4.9,"LENGTH_2",72,"T2","2021-08-30","Day_in_Exp_T2",20,1.31280006858711,"20",2021-08-30,1.11000600567406,0.0656834218414615
"1307",1307,"00186D16DE","201","WEIGHT_3",7.3,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.18868308569102,"20",2021-09-29,0.990981334104705,0.00034693488164228
"1308",1308,"00186D16DE","201","WEIGHT_4",11.5,"LENGTH_4",95,"T4","2021-11-04","Day_in_Exp_T4",98,1.34130339699665,"20",2021-11-04,1.10769582299912,0.0556772287250376
"1309",1309,"00186D16DE","201","WEIGHT_5",27.5,"LENGTH_5",125,"T5","2021-12-09","Day_in_Exp_T5",133,1.408,"20",2021-12-09,1.13596592354501,0.0995271815298793
"1310",1310,"00186D16DE","201","WEIGHT_6",32.7,"LENGTH_6",137,"T6","2022-01-06","Day_in_Exp_T6",161,1.27170404063542,"20",2022-01-06,1.01803990787851,-0.00763206938879524
"1312",1312,"00186D16DE","201","WEIGHT_8",66.5,"LENGTH_8",170,"T8","2022-03-30","Day_in_Exp_T8",244,1.35355180134337,"20",2022-03-30,1.06386549370388,0.0449465040041612
"1313",1313,"00186D16DF","202","WEIGHT_1",2.4,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.00701554160653,"20",2021-07-29,0.862348633701712,-0.026292477346828
"1314",1314,"00186D16DF","202","WEIGHT_2",5.3,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.07496567208679,"20",2021-08-30,0.901771058606709,-0.0407862698146979
